"Date","Price","Open","High","Low","Vol.","Change %"
"08/21/2025","112,481.1","114,275.0","114,776.3","112,023.0","43.00K","-1.57%"
"08/20/2025","114,275.0","112,878.1","114,616.7","112,409.4","54.63K","1.24%"
"08/19/2025","112,880.3","116,218.9","116,729.2","112,750.9","62.15K","-2.86%"
"08/18/2025","116,203.8","117,417.9","117,552.7","114,653.8","58.82K","-1.02%"
"08/17/2025","117,405.4","117,393.8","118,559.4","117,192.4","21.87K","-0.01%"
"08/16/2025","117,413.4","117,356.3","117,914.9","117,195.6","25.18K","0.05%"
"08/15/2025","117,356.3","118,314.1","119,231.9","116,816.8","45.23K","-0.81%"
"08/14/2025","118,314.2","123,313.6","124,436.8","117,275.1","86.59K","-4.06%"
"08/13/2025","123,323.4","120,138.4","123,651.8","118,959.9","76.09K","2.64%"
"08/12/2025","120,146.2","118,689.6","120,317.2","118,217.4","56.86K","1.23%"
"08/11/2025","118,689.6","119,291.8","122,319.5","118,242.5","81.13K","-0.50%"
"08/10/2025","119,287.0","116,468.4","119,305.3","116,468.4","46.65K","2.42%"
"08/09/2025","116,471.6","116,676.5","117,893.0","116,357.7","34.33K","-0.18%"
"08/08/2025","116,676.3","117,480.5","117,625.1","115,917.8","39.88K","-0.68%"
"08/07/2025","117,480.5","115,002.1","117,628.4","114,267.3","47.52K","2.16%"
"08/06/2025","115,002.1","114,131.7","115,714.0","113,361.2","34.73K","0.76%"
"08/05/2025","114,139.1","115,055.3","115,111.7","112,678.9","41.41K","-0.80%"
"08/04/2025","115,055.3","114,213.1","115,720.9","114,116.1","36.55K","0.74%"
"08/03/2025","114,213.1","112,547.9","114,758.4","111,992.4","27.15K","1.48%"
"08/02/2025","112,547.7","113,306.4","114,050.0","112,015.5","38.34K","-0.67%"
"08/01/2025","113,312.1","115,766.7","116,054.6","112,760.6","77.85K","-2.12%"
"07/31/2025","115,765.0","117,840.4","118,920.7","115,510.0","56.43K","-1.76%"
"07/30/2025","117,840.4","117,949.8","118,693.5","115,830.7","48.17K","-0.09%"
"07/29/2025","117,950.1","118,054.8","119,261.0","117,002.7","51.88K","-0.09%"
"07/28/2025","118,053.9","119,402.7","119,788.2","117,426.5","61.81K","-1.13%"
"07/27/2025","119,398.1","117,918.3","119,771.1","117,840.4","34.87K","1.26%"
"07/26/2025","117,917.6","117,632.2","118,298.1","117,150.5","31.06K","0.24%"
"07/25/2025","117,631.9","118,311.5","118,449.8","114,843.5","131.51K","-0.57%"
"07/24/2025","118,310.9","118,760.7","119,459.7","117,141.7","55.00K","-0.38%"
"07/23/2025","118,763.0","119,965.5","120,089.5","117,345.2","50.19K","-1.00%"
"07/22/2025","119,965.5","117,388.2","120,253.1","116,199.1","70.23K","2.20%"
"07/21/2025","117,388.1","117,297.2","119,634.0","116,540.9","54.78K","0.08%"
"07/20/2025","117,297.2","117,848.4","118,860.0","116,515.2","40.07K","-0.47%"
"07/19/2025","117,848.4","117,942.3","118,508.2","117,308.6","23.56K","-0.08%"
"07/18/2025","117,940.3","119,196.4","120,801.2","116,839.2","66.90K","-1.05%"
"07/17/2025","119,194.9","118,680.6","120,944.5","117,489.7","55.75K","0.43%"
"07/16/2025","118,683.2","117,762.4","120,028.0","117,030.5","60.71K","0.78%"
"07/15/2025","117,762.3","119,846.7","119,944.0","115,774.0","113.79K","-1.74%"
"07/14/2025","119,849.5","119,092.2","123,104.7","118,913.7","89.94K","0.64%"
"07/13/2025","119,090.6","117,422.4","119,441.6","117,247.7","33.24K","1.42%"
"07/12/2025","117,419.5","117,535.6","118,206.6","116,951.2","32.19K","-0.10%"
"07/11/2025","117,535.6","115,994.0","118,848.4","115,261.9","89.27K","1.33%"
"07/10/2025","115,993.6","111,246.1","116,626.3","110,631.9","82.26K","4.27%"
"07/09/2025","111,246.0","108,913.1","111,915.7","108,329.9","56.81K","2.14%"
"07/08/2025","108,913.1","108,267.6","109,208.3","107,474.2","32.36K","0.59%"
"07/07/2025","108,269.6","109,207.0","109,686.8","107,526.5","35.34K","-0.86%"
"07/06/2025","109,207.0","108,204.7","109,701.8","107,818.8","21.94K","0.93%"
"07/05/2025","108,204.7","107,989.6","108,357.5","107,797.8","14.93K","0.20%"
"07/04/2025","107,989.6","109,600.8","109,723.7","107,268.2","40.92K","-1.47%"
"07/03/2025","109,600.5","108,846.7","110,506.8","108,550.8","45.39K","0.70%"
"07/02/2025","108,843.7","105,694.0","109,727.8","105,163.5","62.51K","2.98%"
"07/01/2025","105,694.3","107,176.4","107,532.3","105,289.4","40.28K","-1.38%"
"06/30/2025","107,171.1","108,362.3","108,777.0","106,743.1","37.46K","-1.10%"
"06/29/2025","108,361.1","107,304.3","108,470.5","107,188.4","25.96K","0.98%"
"06/28/2025","107,304.4","107,048.2","107,542.3","106,822.0","14.26K","0.24%"
"06/27/2025","107,044.2","106,948.0","107,726.5","106,414.1","46.24K","0.09%"
"06/26/2025","106,945.9","107,350.6","108,261.2","106,650.0","38.70K","-0.38%"
"06/25/2025","107,349.4","106,086.0","108,128.0","105,828.2","58.14K","1.20%"
