date,price_value,search_interest
2024-01-20,41858.0,15.75
2024-01-21,41878.0,14.25
2024-01-22,41684.9,21.0
2024-01-23,40159.4,21.75
2024-01-24,40535.2,19.5
2024-01-25,40285.8,16.5
2024-01-26,42214.8,17.25
2024-01-27,42191.8,15.0
2024-01-28,42817.1,13.5
2024-01-29,43305.6,15.75
2024-01-30,43817.9,17.25
2024-01-31,43739.7,15.0
2024-02-01,43263.1,14.25
2024-02-02,43459.3,13.5
2024-02-03,43370.4,13.5
2024-02-04,43113.2,12.75
2024-02-05,43532.2,13.5
2024-02-06,43375.5,13.5
2024-02-07,44367.9,13.5
2024-02-08,45579.2,16.5
2024-02-09,48118.8,21.0
2024-02-10,48149.0,17.25
2024-02-11,48531.6,17.25
2024-02-12,50277.3,24.75
2024-02-13,50326.6,25.5
2024-02-14,52010.7,29.25
2024-02-15,52819.4,30.75
2024-02-16,52556.7,24.75
2024-02-17,52175.5,18.0
2024-02-18,52350.3,16.5
2024-02-19,52484.8,20.25
2024-02-20,52936.8,22.5
2024-02-21,52367.3,21.75
2024-02-22,52015.8,19.5
2024-02-23,51532.5,18.75
2024-02-24,51689.9,15.75
2024-02-25,51952.0,15.75
2024-02-26,54899.1,24.0
2024-02-27,57555.2,40.5
2024-02-28,63915.3,63.75
2024-02-29,63653.4,55.5
2024-03-01,63147.3,39.0
2024-03-02,62446.3,33.75
2024-03-03,63227.3,30.75
2024-03-04,68495.1,61.5
2024-03-05,69063.1,75.0
2024-03-06,67604.9,51.75
2024-03-07,67985.5,41.25
2024-03-08,69904.0,42.75
2024-03-09,68576.9,35.25
2024-03-10,69905.3,34.5
2024-03-11,72771.5,57.75
2024-03-12,72916.7,50.25
2024-03-13,73623.5,48.0
2024-03-14,73740.9,42.0
2024-03-15,72398.1,42.0
2024-03-16,70037.0,33.0
2024-03-17,68857.7,30.75
2024-03-18,68920.1,33.0
2024-03-19,68099.6,38.25
2024-03-20,68029.5,40.5
2024-03-21,68161.7,30.75
2024-03-22,66633.3,28.5
2024-03-23,65972.4,23.25
2024-03-24,67587.8,24.0
2024-03-25,71118.8,32.25
2024-03-26,71490.7,31.5
2024-03-27,71670.8,29.25
2024-03-28,71542.5,29.25
2024-03-29,70907.0,27.75
2024-03-30,70321.2,24.0
2024-03-31,71367.5,22.5
2024-04-01,71329.3,30.75
2024-04-02,69673.0,30.0
2024-04-03,66844.8,27.75
2024-04-04,69238.8,26.25
2024-04-05,68692.2,24.75
2024-04-06,69632.0,19.5
2024-04-07,70285.8,22.5
2024-04-08,72710.8,27.0
2024-04-09,71737.2,26.25
2024-04-10,71086.9,26.25
2024-04-11,71249.2,25.5
2024-04-12,71226.9,27.75
2024-04-13,67921.0,29.25
2024-04-14,65758.2,33.0
2024-04-15,66805.1,31.5
2024-04-16,64274.4,30.0
2024-04-17,64451.5,32.25
2024-04-18,64092.4,33.75
2024-04-19,65441.2,46.5
2024-04-20,65375.6,45.0
2024-04-21,65680.6,27.75
2024-04-22,67208.0,30.0
2024-04-23,67180.0,25.5
2024-04-24,67060.5,23.25
2024-04-25,65247.5,21.75
2024-04-26,64771.3,18.75
2024-04-27,63916.7,15.75
2024-04-28,64346.1,15.0
2024-04-29,64193.1,18.75
2024-04-30,64700.2,24.75
2024-05-01,60827.5,28.5
2024-05-02,59548.0,24.0
2024-05-03,63298.4,21.75
2024-05-04,64466.0,16.5
2024-05-05,64587.2,16.5
2024-05-06,65448.8,20.25
2024-05-07,64361.0,18.0
2024-05-08,62997.4,16.5
2024-05-09,63413.3,16.5
2024-05-10,63454.3,17.25
2024-05-11,61487.5,15.0
2024-05-12,61847.7,15.0
2024-05-13,63443.2,17.25
2024-05-14,63102.6,17.25
2024-05-15,66417.1,21.0
2024-05-16,66643.9,19.5
2024-05-17,67420.7,18.75
2024-05-18,67361.4,14.25
2024-05-19,67662.5,14.25
2024-05-20,71482.8,20.25
2024-05-21,71872.0,26.25
2024-05-22,70593.4,22.5
2024-05-23,70041.0,21.75
2024-05-24,69212.0,18.75
2024-05-25,69558.8,15.0
2024-05-26,69494.0,15.0
2024-05-27,70638.3,16.5
2024-05-28,69560.7,18.0
2024-05-29,68897.6,17.25
2024-05-30,69504.7,17.25
2024-05-31,69018.2,15.0
2024-06-01,67861.0,13.5
2024-06-02,68447.5,14.25
2024-06-03,70131.0,16.5
2024-06-04,71034.2,18.75
2024-06-05,71744.4,22.5
2024-06-06,71616.1,20.25
2024-06-07,71956.5,19.5
2024-06-08,69572.1,15.0
2024-06-09,69847.8,13.5
2024-06-10,70152.5,16.5
2024-06-11,69573.3,18.0
2024-06-12,69990.8,18.75
2024-06-13,68384.6,18.0
2024-06-14,67347.7,15.75
2024-06-15,66446.4,13.5
2024-06-16,66951.4,12.75
2024-06-17,67253.8,15.75
2024-06-18,66571.2,17.25
2024-06-19,65706.4,15.0
2024-06-20,66474.2,14.25
2024-06-21,65054.9,15.0
2024-06-22,64523.9,12.0
2024-06-23,64518.9,12.75
2024-06-24,63357.1,21.75
2024-06-25,62266.0,19.5
2024-06-26,62469.4,16.5
2024-06-27,62351.2,15.75
2024-06-28,62175.4,14.25
2024-06-29,61192.8,12.75
2024-06-30,63006.6,12.0
2024-07-01,63842.1,15.0
2024-07-02,63257.0,14.25
2024-07-03,62263.6,14.25
2024-07-04,60463.0,18.75
2024-07-05,57471.1,27.75
2024-07-06,58462.0,18.0
2024-07-07,58394.6,15.0
2024-07-08,58115.8,21.75
2024-07-09,58234.0,19.5
2024-07-10,59393.8,17.25
2024-07-11,59404.4,18.0
2024-07-12,58520.9,15.75
2024-07-13,59826.5,13.5
2024-07-14,61326.9,15.0
2024-07-15,64869.5,23.25
2024-07-16,65319.5,21.75
2024-07-17,66051.5,19.5
2024-07-18,65102.0,18.75
2024-07-19,67390.4,19.5
2024-07-20,67586.4,15.75
2024-07-21,68352.9,17.25
2024-07-22,68468.9,21.75
2024-07-23,67750.2,19.5
2024-07-24,67072.1,18.75
2024-07-25,66088.6,20.25
2024-07-26,68205.0,22.5
2024-07-27,69387.6,32.25
2024-07-28,68291.9,25.5
2024-07-29,70000.2,27.0
2024-07-30,66998.3,21.0
2024-07-31,66825.6,18.0
2024-08-01,65587.9,18.75
2024-08-02,65567.1,18.75
2024-08-03,62184.2,16.5
2024-08-04,61086.5,19.5
2024-08-05,58291.4,62.25
2024-08-06,57025.6,31.5
2024-08-07,57669.6,25.5
2024-08-08,62563.5,23.25
2024-08-09,61712.3,21.75
2024-08-10,61344.5,15.0
2024-08-11,61677.3,16.5
2024-08-12,60606.2,18.75
2024-08-13,61537.0,17.25
2024-08-14,61543.0,18.75
2024-08-15,59831.4,21.0
2024-08-16,59817.3,16.5
2024-08-17,59659.5,13.5
2024-08-18,60216.3,14.25
2024-08-19,59598.5,16.5
2024-08-20,61331.6,18.0
2024-08-21,61812.0,14.25
2024-08-22,61399.7,16.5
2024-08-23,64830.1,18.0
2024-08-24,64458.9,15.75
2024-08-25,64939.2,15.0
2024-08-26,64472.5,15.75
2024-08-27,63201.4,18.0
2024-08-28,60198.4,17.25
2024-08-29,61150.6,14.25
2024-08-30,59817.6,15.0
2024-08-31,59447.0,12.75
2024-09-01,59058.7,12.75
2024-09-02,59416.6,13.5
2024-09-03,59799.7,16.5
2024-09-04,58508.8,15.75
2024-09-05,58318.9,14.25
2024-09-06,56969.1,16.5
2024-09-07,54819.2,14.25
2024-09-08,55292.7,12.75
2024-09-09,57956.7,15.75
2024-09-10,58019.9,13.5
2024-09-11,57975.9,14.25
2024-09-12,58484.1,13.5
2024-09-13,60625.4,14.25
2024-09-14,60609.4,12.75
2024-09-15,60377.6,13.5
2024-09-16,59204.3,12.75
2024-09-17,61309.0,15.75
2024-09-18,61757.6,17.25
2024-09-19,63849.6,20.25
2024-09-20,64085.1,17.25
2024-09-21,63526.3,13.5
2024-09-22,63998.2,12.75
2024-09-23,64723.4,15.75
2024-09-24,64664.1,14.25
2024-09-25,64788.4,15.0
2024-09-26,65770.9,15.75
2024-09-27,66440.7,16.5
2024-09-28,66232.5,14.25
2024-09-29,66065.7,12.75
2024-09-30,65607.0,13.5
2024-10-01,64125.3,15.0
2024-10-02,62339.8,13.5
2024-10-03,61468.9,14.25
2024-10-04,62471.7,13.5
2024-10-05,62366.8,12.0
